"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WDMV","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-10-30","9.17",,," 1026","0.00",,,,,"60","34",,,"  290","  290",,,,"23.0","35.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-10-31","3.80",,," 1945","0.00",,,,,"54","26",,,"  180","  190",,,,"12.1","14.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-11-01","8.50",,," 1316","0.01",,,,,"61","45",,,"  210","  200",,,,"19.9","29.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-11-02","3.80",,," 1026","0.00",,,,,"65","37",,,"  330","  300",,,,"14.1","19.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-11-03","3.58",,," 1404","0.00",,,,,"72","34",,,"  260","  260",,,,"17.0","23.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-11-04","2.46",,," 1340","0.00",,,,,"67","36",,,"  130","  290",,,,"12.1","14.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-11-05","7.83",,," 1215","0.00",,,,,"76","44",,,"  240","  240",,,,"18.1","23.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-11-06","11.18",,," 1213","0.00",,,,,"73","60",,,"  220","  230",,,,"23.9","32.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-11-07","10.74",,," 1056","0.00",,,,,"65","45",,,"  300","  300",,,,"25.1","34.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-11-08","7.38",,," 1024","0.00",,,,,"55","32",,,"  300","  320",,,,"19.9","25.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-11-09","3.58",,," 1221","0.00",,,,,"59","26",,,"  200","  210",,,,"13.0","18.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-11-10","3.80",,," 2242","0.06",,,,,"52","32",,,"   30","   30",,,,"10.1","14.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-11-11","10.29",,," 0822","0.21",,,,,"48","45",,,"   10","   10",,,,"18.1","25.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-11-12","5.14",,," 2357","0.11",,,,,"54","44",,,"  280","  280",,,,"18.1","25.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-11-13","12.08",,," 1001","0.00",,,,,"58","43",,,"  260","  250",,,,"25.1","36.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-11-14","13.65",,," 1131","0.00",,,,,"45","32",,,"  310","  290",,,,"30.0","40.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-11-15","5.37",,," 1241","0.00",,,,,"52","27",,,"  250","  260",,,,"16.1","21.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-11-16","6.04",,," 1332","0.00",,,,,"60","31",,,"  300","  300",,,,"21.9","29.1",,,,,,,,,
