"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-30","6.71"," 2350"," 2350","0.03","0.0","0.0","51","61","41","   70","   50",,"17.0","23.9",,,,,,,,,,,,,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-31","9.62"," 0659"," 0700","0.06","0.0","0.0","39","41","36","   80","   80",,"21.0","25.1","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-01","8.50"," 1909"," 2337","0.15","0.0","0.0","47","55","38","  290","  330",,"25.9","34.9","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-02","10.07"," 0250"," 0017","0.00","0.0","0.0","35","40","29","  310","  280",,"23.0","36.0",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-03","6.71"," 1209"," 1214","0.00","0.0","0.0","37","43","31","  240","  250",,"17.0","23.0",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-04","6.93"," 2257"," 2317","0.00","0.0","0.0","34","43","25","  310","  310",,"21.0","31.1","    1",,,,,,,,,,"    1",,,,,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-05","10.74"," 0304"," 0258","0.00","0.0",,"26","33","19","  310","  310",,"25.1","38.0",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-06","6.26"," 0857"," 1011","0.00","0.0","0.0","37","43","30","  290","  290",,"15.0","21.0",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-07","4.70"," 0226"," 0225","0.02","0.0","0.0","42","46","37","  260","  260",,"13.0","17.9","    1",,,,,,,,,,"    1",,,"    1",,,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-08","7.38"," 2345"," 2122","0.00","0.0","0.0","45","53","37","  310","  260",,"13.0","17.9",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-09","6.49"," 1036"," 1035","0.00","0.0","0.0","42","47","36","   60","   60",,"17.0","25.1",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-10","7.16"," 1956"," 1949","0.30","0.0","0.0","47","55","38","  210","  220",,"16.1","23.9","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-11","11.63"," 0955"," 0822","0.08","0.0","0.0","40","55","24","  310","  280",,"23.9","36.0","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-12","8.28"," 1333"," 1329","0.00","0.0","0.0","34","45","23","  260","  250",,"23.0","31.1",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-13","10.74"," 0949"," 1205","0.00","0.0","0.0","33","42","23","  310","  320",,"21.9","29.1",,,,,,,,"    1",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-14","6.71"," 2020"," 2020","0.00","0.0","0.0","30","39","21","  240","  220",,"16.1","23.0",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-15","9.62"," 1449"," 1449","0.00","0.0","0.0","41","50","32","  240","  250",,"17.9","28.0",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-16","4.92"," 1555",,"0.00","0.0","0.0","50","56","44","  300","  240",,"12.1","17.9",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-17","8.50"," 1646"," 1947","0.00","0.0","0.0","42","49","34","  310","  320",,"19.9","29.1",,,,,,,,,,,,,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-18","7.83"," 1206"," 1119","0.00","0.0","0.0","38","45","30","   60","   50",,"16.1","23.9",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-19","3.36"," 1419"," 1418","0.00","0.0","0.0","42","53","31","  250","  250",,"10.1","14.1",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-20","9.40"," 0812"," 0147","0.08","0.0","0.0","50","54","45","  160","  250",,"12.1","16.1","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-21","10.07",,,"0.03","0.0","0.0","57","63","50","    0","  270",,"19.9","21.9","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-22","12.30",,,"0.00","0.0","0.0","47","51","43","    0","  290",,"17.9","23.0",,,,,,,,,,,,,,,,,,,
