"Cutoff","Kappa","Set","Iteration","Quantile.97","PCancel","QuantilePCancel"
0.42,0.251548657056451,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.41,0.176050732553061,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.41,0.251548657056451,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.4,0.176050732553061,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.4,0.251548657056451,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.39,0.176050732553061,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.39,0.251548657056451,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.38,0.180837502806036,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.38,0.251548657056451,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.37,0.181406905393578,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.37,0.251548657056451,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.36,0.181406905393578,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.36,0.259678714569568,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.35,0.181406905393578,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.35,0.259678714569568,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.34,0.184384134869075,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.34,0.287046477477785,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.33,0.195253817107813,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.33,0.287046477477785,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.32,0.195253817107813,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.32,0.287046477477785,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.31,0.195253817107813,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.31,0.282254955783636,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.3,0.196314000275786,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.3,0.282254955783636,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.29,0.197772509434998,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.29,0.282254955783636,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.28,0.20305325887845,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.28,0.282254955783636,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.27,0.20305325887845,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.27,0.282254955783636,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.26,0.205984589365196,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.26,0.282254955783636,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.25,0.205984589365196,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.25,0.282254955783636,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.24,0.215911019145076,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.24,0.282254955783636,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.23,0.230758794340905,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.23,0.282254955783636,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.22,0.230958975821462,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.22,0.282254955783636,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.21,0.230958975821462,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.21,0.284184252652337,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.2,0.230958975821462,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.2,0.280948733986163,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.19,0.230637370938547,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.19,0.276966318844644,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.18,0.236147344215326,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.18,0.276966318844644,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.17,0.236147344215326,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.17,0.276966318844644,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.16,0.23348024975738,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.16,0.276966318844644,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.15,0.233991366204456,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.15,0.276966318844644,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.14,0.233991366204456,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.14,0.276966318844644,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.13,0.233991366204456,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.13,0.276966318844644,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.12,0.24135031319234,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.12,0.269338840467117,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.11,0.241710777492484,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.11,0.269338840467117,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.1,0.234122878970578,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.1,0.269338840467117,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.09,0.232224770954833,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.09,0.293809350153025,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.08,0.224920770998543,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.08,0.259840324705704,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.07,0.205665457332829,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.07,0.231092847253604,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.06,0.179362446510343,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.06,0.199709854295284,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
0.05,0.147789954348039,"Train",1,0.0765497514232675,0.031798524548461,0.0768435466117851
0.05,0.156960173565098,"Test",1,0.0767570199088173,0.0299852289512555,0.0767570199088173
